Largest Z = 90
time = 1e-20
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 0
Yh_nse = 6.19673e-13
82 0.000000e+00 0.000000e+00 0.000000e+00
83 0.000000e+00 0.000000e+00 0.000000e+00
84 0.000000e+00 0.000000e+00 0.000000e+00
85 0.000000e+00 0.000000e+00 0.000000e+00
86 0.000000e+00 0.000000e+00 0.000000e+00
87 0.000000e+00 0.000000e+00 0.000000e+00
88 0.000000e+00 0.000000e+00 0.000000e+00
89 0.000000e+00 0.000000e+00 0.000000e+00
90 0.000000e+00 0.000000e+00 0.000000e+00

time = 4.384e-17
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 2.10205e-33
Yh_nse = 6.19673e-13
0 6.699994e-01 6.690374e-01 6.690374e-01
1 3.300000e-01 3.290668e-01 3.290668e-01
2 3.681558e-14 4.666217e-04 4.666217e-04
3 2.102053e-33 2.374052e-13 8.053260e-34
4 2.883733e-41 3.822653e-13 1.296720e-33
5 3.518637e-57 1.095487e-18 3.716110e-39
6 3.161782e-73 8.831811e-19 2.995927e-39
7 0.000000e+00 2.583321e-23 8.763143e-44
8 0.000000e+00 1.572067e-24 5.332766e-45
9 0.000000e+00 2.193799e-29 7.441807e-50
10 0.000000e+00 2.811670e-31 9.537748e-52
11 0.000000e+00 8.336407e-35 2.827876e-55
12 0.000000e+00 6.160571e-36 2.089789e-56
13 0.000000e+00 2.789751e-39 9.463393e-60
14 0.000000e+00 1.895788e-40 6.430893e-61
15 0.000000e+00 4.542393e-44 1.540871e-64
16 0.000000e+00 2.232405e-46 7.572765e-67
17 0.000000e+00 7.669627e-50 2.601691e-70
18 0.000000e+00 2.095567e-52 7.108582e-73
19 0.000000e+00 7.492750e-56 2.541691e-76
20 0.000000e+00 1.868842e-58 6.339485e-79
21 0.000000e+00 4.988211e-62 1.692101e-82
22 0.000000e+00 1.885219e-64 6.395041e-85
23 0.000000e+00 3.205751e-67 1.087455e-87
